ID,Event Type,X,Y,Selector,Content,Timestamp,Created At
314797,mousemove,785,364,#app > div.survey-wrapper > div.behavior-tracker-root > div.survey-page > main.survey-body > div.survey-section > div.slider-container > div.slider-bar-wrapper > div.slider-input-container > input.native-slider,,2026-03-21 08:11:14 UTC,2026-03-21 08:11:14 UTC
314798,slider,,,.native-slider-2,,2026-03-21 08:11:14 UTC,2026-03-21 08:11:14 UTC
314799,mousemove,862,364,#app > div.survey-wrapper > div.behavior-tracker-root > div.survey-page > main.survey-body > div.survey-section > div.slider-container > div.slider-bar-wrapper > div.slider-input-container > input.native-slider,,2026-03-21 08:11:14 UTC,2026-03-21 08:11:15 UTC
314800,mousemove,889,365,#app > div.survey-wrapper > div.behavior-tracker-root > div.survey-page > main.survey-body > div.survey-section > div.slider-container > div.slider-bar-wrapper > div.slider-input-container > input.native-slider,,2026-03-21 08:11:15 UTC,2026-03-21 08:11:15 UTC
314801,slider,,,.native-slider-2,,2026-03-21 08:11:15 UTC,2026-03-21 08:11:15 UTC
314802,slider,,,.native-slider-2,,2026-03-21 08:11:15 UTC,2026-03-21 08:11:15 UTC
314803,slider,,,.native-slider-2,,2026-03-21 08:11:15 UTC,2026-03-21 08:11:15 UTC
314804,mousemove,1184,364,#app > div.survey-wrapper > div.behavior-tracker-root > div.survey-page > main.survey-body > div.survey-section > div.slider-container > div.slider-bar-wrapper > div.slider-input-container > input.native-slider,,2026-03-21 08:11:15 UTC,2026-03-21 08:11:15 UTC
314805,slider,,,.native-slider-2,,2026-03-21 08:11:15 UTC,2026-03-21 08:11:15 UTC
314806,mousemove,1205,364,#app > div.survey-wrapper > div.behavior-tracker-root > div.survey-page > main.survey-body,,2026-03-21 08:11:15 UTC,2026-03-21 08:11:15 UTC
314807,mousemove,995,362,#app > div.survey-wrapper > div.behavior-tracker-root > div.survey-page > main.survey-body > div.survey-section > div.slider-container > div.slider-bar-wrapper > div.slider-input-container.disabled > input.native-slider,,2026-03-21 08:11:16 UTC,2026-03-21 08:11:16 UTC
314808,scroll,,,,,2026-03-21 08:11:16 UTC,2026-03-21 08:11:16 UTC
314809,mousemove,947,368,#app > div.survey-wrapper > div.behavior-tracker-root > div.survey-page > main.survey-body > div.survey-section > div.slider-container > div.slider-bar-wrapper,,2026-03-21 08:11:16 UTC,2026-03-21 08:11:16 UTC
314810,mousemove,538,345,#app > div.survey-wrapper > div.behavior-tracker-root > div.survey-page > main.survey-body > div.survey-section > div.slider-container > div.slider-bar-wrapper > div.slider-input-container > input.native-slider,,2026-03-21 08:11:16 UTC,2026-03-21 08:11:16 UTC
314811,mousemove,517,360,#app > div.survey-wrapper > div.behavior-tracker-root > div.survey-page > main.survey-body > div.survey-section > div.slider-container > div.slider-bar-wrapper > div.slider-input-container > input.native-slider,,2026-03-21 08:11:17 UTC,2026-03-21 08:11:17 UTC
